0,0,44,0,0,700,1
1,0,7,0,0,800,1
2,7,42,0,0,500,1
3,29,42,0,0,400,1
4,29,41,0,0,600,1
5,26,41,0,0,400,1
6,26,34,0,0,800,1
7,33,34,0,0,200,1
8,19,33,0,0,700,1
9,3,19,0,0,200,1
10,3,31,0,0,300,1
11,12,31,0,0,300,1
12,12,14,0,0,900,1
13,5,14,0,0,1000,1
14,5,17,0,0,300,1
15,17,46,0,0,200,1
16,39,46,0,0,1000,1
17,30,39,0,0,700,1
18,10,30,0,0,300,1
19,1,10,0,0,700,1
20,1,32,0,0,500,1
21,28,32,0,0,700,1
22,27,28,0,0,800,1
23,24,27,0,0,800,1
24,13,24,0,0,1000,1
25,13,20,0,0,900,1
26,20,37,0,0,800,1
27,4,37,0,0,300,1
28,4,23,0,0,900,1
29,23,47,0,0,400,1
30,38,47,0,0,300,1
31,2,38,0,0,600,1
32,2,11,0,0,200,1
33,11,48,0,0,900,1
34,15,48,0,0,300,1
35,15,16,0,0,700,1
36,16,18,0,0,600,1
37,8,18,0,0,200,1
38,8,49,0,0,500,1
39,45,49,0,0,800,1
40,35,45,0,0,400,1
41,25,35,0,0,400,1
42,6,25,0,0,200,1
43,6,9,0,0,700,1
44,9,22,0,0,300,1
45,22,43,0,0,900,1
46,40,43,0,0,800,1
47,36,40,0,0,300,1
48,21,36,0,0,800,1
49,21,44,0,0,400,1
