0,3,12,0,0,800,1
1,12,16,0,0,500,1
2,16,19,0,0,200,1
3,11,13,0,0,300,1
4,6,8,0,0,200,1
5,4,16,0,0,300,1
6,1,5,0,0,900,1
7,0,1,0,0,700,1
8,8,18,0,0,300,1
9,6,15,0,0,300,1
10,0,6,0,0,300,1
11,6,14,0,0,200,1
12,17,19,0,0,300,1
13,7,14,0,0,800,1
14,9,11,0,0,700,1
15,10,16,0,0,800,1
16,15,17,0,0,700,1
17,9,12,0,0,300,1
18,12,18,0,0,700,1
19,4,11,0,0,900,1
20,7,8,0,0,800,1
21,3,13,0,0,800,1
22,11,16,0,0,800,1
23,11,12,0,0,300,1
24,7,11,0,0,300,1
25,14,17,0,0,700,1
26,4,7,0,0,200,1
27,4,17,0,0,400,1
28,10,19,0,0,300,1
29,0,16,0,0,300,1
30,1,2,0,0,800,1
31,9,17,0,0,300,1
32,0,15,0,0,800,1
33,18,19,0,0,300,1
34,0,8,0,0,800,1
35,2,16,0,0,300,1
36,6,17,0,0,900,1
37,2,13,0,0,400,1
38,5,8,0,0,200,1
39,1,17,0,0,300,1
